"gene_id","aqp_family_subfamily","subfamilia_phylo","fuente_seq","needs_reannotation","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"Fxa1Ag01329","FaPIP2","PIP","GFF3",FALSE,0.189855089978225,0,0,0,0,0,0,0,0,0,0,0,0,0.117370049894236,0
"Fxa1Ag02792","FaSIP2","SIP","GFF3",FALSE,9.88212796189052,10.9798299278481,11.6887803386902,5.32865128106899,5.10142101205061,7.37453984338433,12.8975724795198,14.760503262651,9.97765418256536,11.372962964175,12.856804230135,21.4849800309031,13.1778750930992,18.1273473766293,4.58436698737351
"Fxa1Bg01161","FaPIP2","PIP","GFF3",FALSE,0,0,0,0,0.0934141786197863,0,0,0,0,0,0.173187038228074,0,0,0,0
"Fxa1Cg01161","FaPIP2","PIP","GFF3",FALSE,0.0949275449891123,0.0906168321201205,0.0925569614301212,0,0,0,0,0,0,0.163537601120846,0.173187038228074,0.101527777735167,0,0,0.099491785171069
"Fxa1Cg02650","FaSIP2","SIP","GFF3",FALSE,5.94071787483792,6.13075303364613,5.71408778205838,4.34923606044312,3.55500546231086,3.56743495179119,4.00756715170837,3.20944631287764,2.19751829672063,5.80873912586505,6.51763979919154,11.2478919339539,8.64821171600215,8.0400225572951,6.47877515008638
"Fxa1Dg01169","FaPIP2","PIP","GFF3",FALSE,0,0,0.277670884290364,0,0,0,0,0,0,0.0817688005604228,0.173187038228074,0.203055555470335,0.104348275986134,0,0.099491785171069
"Fxa1Dg02410","FaSIP2","SIP","GFF3",FALSE,13.2912360593041,18.3182979814918,14.7996966961158,9.28231371413301,7.97143375983671,10.3140453083657,24.5037663946226,30.1252274111129,19.0676691410634,17.8168036221119,23.9617357106546,29.6083333209069,20.4889659926844,17.0169512746368,10.13861781736
"Fxa2Ag00184","FaXIP2","XIP","EXONERATE",FALSE,0.676358758047425,0.184469979673102,0,0,0,0,0.0831619538254754,0.0898325089235684,0.188919302549707,0.33291583085315,0.0881398319553591,0.82672619012922,1.06211638057315,0.477863774569391,0.303805272575943
"Fxa2Ag00187","FaXIP1","XIP","GFF3",FALSE,0.0942660289961568,0,0,0,0,0,0,0,0.276467272023961,1.86757661210304,2.83767263856278,0.705741869622505,1.24345332359783,0.58276070069438,0
"Fxa2Ag01701","FaPIP2","PIP","GFF3",FALSE,95.358370000986,99.8736900474682,98.8081162097863,3.36965176152,2.84553959487964,0.641060346131096,49.9456553776774,35.071775305739,40.1549124852616,44.3815889811033,46.6406016028067,32.1921153711046,20.9499231018315,29.0084592546294,59.9246675299593
"Fxa2Ag03929","FaTIP4","TIP","GFF3",FALSE,80.7158716215274,48.0943219731747,71.2879836403318,3.02829039745729,2.86032670897775,1.6155688755676,12.7652453640647,5.47409117738108,7.86903541198779,10.9779683066452,11.2177967943184,12.1959194163691,26.8718370225449,18.5221578738053,58.9756057140077
"Fxa2Bg00218","FaXIP2","XIP","GFF3",FALSE,0,0,0.0792154174401939,0,0,0,0,0,0.0794255326034804,0.909769988217317,0,0.17378628621335,0.178614166102392,1.20542213404892,1.19210877727497
"Fxa2Bg00222","FaXIP2","XIP","GFF3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa2Bg01497","FaPIP2","PIP","GFF3",FALSE,79.7239897783561,67.6782414786496,76.0493288942065,3.06280738527026,3.96513375205263,2.07961525472,126.583110142011,75.9944798893846,113.110407952101,106.769176391344,101.342053592928,79.2132682882678,48.8272225452139,62.6306564116479,89.5902357000547
"Fxa2Bg03539","FaTIP4","TIP","GFF3",FALSE,0.372649453469656,0,0,0,0,0,3.01490719653789,2.63310714861368,2.84159612099559,0,0,0,2.29393730680262,1.6587007051169,0.937360620619989
"Fxa2Cg00636","FaTIP4","TIP","GFF3",FALSE,58.5804940854299,29.5253603829401,57.6262701598197,2.16306456961235,3.15369355092419,1.69634731934598,25.5304907281294,12.3340282224536,16.9767152869737,15.2150788811398,16.7247152206202,19.2105658780715,71.5216881728101,59.1603251491693,108.030811526454
"Fxa2Dg00210","FaXIP2","XIP","GFF3",FALSE,0,0,0,0,0,0,0,0,0,0.584429044757881,0.464184694937314,0.99777298808699,0.279679548489482,0.209720778807883,1.42220232094067
"Fxa2Dg00213","FaXIP1","XIP","GFF3",FALSE,0.188532057992314,0.0899853559380987,0,0.182390810399369,0,0,0.0811336134882687,0.175282944241109,0.184311514682641,0.730790848214232,1.28985119934672,0.201640534177859,0.414484441199278,0.349656420416628,0.296395387878969
"Fxa2Dg01359","FaPIP2","PIP","GFF3",FALSE,55.7588857356593,76.7312207584073,73.2930795620046,37.7472127466132,29.870795495571,33.2526473550265,25.1728431017787,17.3205152036903,32.9865838384545,93.8149330089551,107.906922357932,55.7343498963519,21.4094020982947,32.0544576874075,55.640740932448
"Fxa2Dg03205","FaTIP4","TIP","GFF3",FALSE,7.89292055262683,5.11777264707763,8.93004848513642,0.072036003556815,0.293097698054742,0.161408670228727,8.84415934628358,4.43063823828535,5.45959452322548,2.56558988914354,0.475469919172029,2.46880160446845,25.4557140606358,14.3622176650397,22.9442660903226
"Fxa3Ag00839","FaNIP1","NIP","GFF3",FALSE,2.34701492368844,2.81357036919029,3.13990310648451,0.264018977393841,0.214846328769112,0,2.81867012293474,2.23282416261943,1.81423513141212,5.12470972981076,3.13675851182085,4.02799680395844,20.5794869919796,11.4725869214037,3.60398453815712
"Fxa3Ag00840","FaNIP1","NIP","EXONERATE",FALSE,0,0.0906168321201205,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa3Ag00841","FaNIP1","NIP","GFF3_FALLBACK",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
