"homeolog_group","subgenome","family","sub_subfamily","mean_proportion","sd_proportion"
"HG-28","B","PIP","PIP2;1",0.156270272312211,0.120541889359796
"HG-28","C","PIP","PIP2;1",0.477156922237495,0.229859685861272
"HG-28","D","PIP","PIP2;1",0.134400225501325,0.0858435627926891
"HG-29","A","TIP","TIP1;5",0,0
"HG-29","B","TIP","TIP1;5",0,0
"HG-29","C","TIP","TIP1;5",0,0
"HG-29","D","TIP","TIP1;5",1,0
"HG-30","A","PIP","PIP1;1",0.311093150247432,0.106682001906878
"HG-30","B","PIP","PIP1;1",0.110969592244923,0.0509355569748141
"HG-30","C","PIP","PIP1;1",0.417973506729354,0.164754101518601
"HG-30","D","PIP","PIP1;1",0.15996375077829,0.0762860448617313
"HG-S1","A","NIP","NIP5;3",1,0
